标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"繁花","4","2024/04/29","城市气息怀裹着真挚人情，透过带边棱的窗格和抽格的升格镜头看到的是记忆中一般的场景，高对比高饱和的灯红酒绿中全无城市本身的回忆却又处处是城市的回忆本身。不知是有意无意，王家卫用烂了的技法倒确实和成片发生了意想不到的反应。由车祸引起的巨变而起引向唯有土地于明日同在作结，对向黄浦江的镜头却处处暗念着苏州河，我想这份乡愁在这里被道尽了。(1 有用)","2023/12/27","中国大陆","https://movie.douban.com/subject/34874646/"
"流行乐最传奇一夜 / The Greatest Night in Pop","5","2024/04/28","无法评价的电影。","2024/01/19","圣丹斯电影节","https://movie.douban.com/subject/36720554/"
"机动搜查队404 / MIU404","4","2024/04/26","","2020/06/26","日本","https://movie.douban.com/subject/34969016/"
"星球大战：异等小队 第三季 / Star Wars: The Bad Batch Season 3","3","2024/04/25","","2024/02/21","美国","https://movie.douban.com/subject/36353332/"
"良医 第七季 / The Good Doctor Season 7","4","2024/04/25","","2024/02/20","美国","https://movie.douban.com/subject/36370737/"
"纽约灾星 第二季 / The Jinx Season 2","3","2024/04/25","","2024/04/21","美国","https://movie.douban.com/subject/36629157/"
"老狐狸","4","2024/04/22","太有品的电影。无数细节在完成塑造之下又串联成线相互呼应，几组镜头都极具意味，更无须提高潮处透过车窗对话的那幕。不过一些中间过渡有些缺失","2023/10/27","东京国际电影节","https://movie.douban.com/subject/35611467/"
"辐射 第一季 / Fallout Season 1","3","2024/04/22","","2024/04/10","美国","https://movie.douban.com/subject/35128081/"
"枯叶 / Kuolleet lehdet","4","2024/04/22","","2023/05/22","戛纳电影节","https://movie.douban.com/subject/35928797/"
"年少日记 / 年少日記","3","2024/04/21","前半氛围和中间的小叙诡设计的不错，不过本能更深刻的氛围到后面完全被过多的感情戏和太过直白的台本画面给冲淡了。一些镜头还有点sense不过同样的在关键时刻就变没品了","2023/06/11","上海国际电影节","https://movie.douban.com/subject/34940879/"
"麻辣教师GTO 复活 / GTOリバイバル","2","2024/04/16","","2024/04/01","日本","https://movie.douban.com/subject/36562865/"
"白日之下","3","2024/04/16","","2023/06/11","上海国际电影节","https://movie.douban.com/subject/36093612/"
"大奥","2","2024/04/16","","2024/01/18","日本","https://movie.douban.com/subject/36490035/"
"行尸走肉：存活之人 / The Walking Dead: The Ones Who Live","3","2024/04/16","","2024/02/25","美国","https://movie.douban.com/subject/30372307/"
"假面骑士歌查德 衍生剧 我们是3年G组 / 『仮面ライダーガッチャー...","3","2024/04/16","","2024/04/10","日本","https://movie.douban.com/subject/36801942/"
"假面骑士歌查德×假面骑士极狐 最强凯米★Gotcha大作战 / 仮面ライ...","3","2024/04/16","","2023/12/22","日本","https://movie.douban.com/subject/36613638/"
"纽约灾星 第一季 / The Jinx: The Life and Deaths of Robert Durs...","3","2024/04/16","","2015/02/08","美国","https://movie.douban.com/subject/26292143/"
"农夫 / Chłopi","4","2024/04/09","","2023/09/08","多伦多电影节","https://movie.douban.com/subject/35191489/"
"宽松世代又如何 INTERNATIONAL / ゆとりですがなにか インターナシ...","3","2024/04/09","","2023/10/13","日本","https://movie.douban.com/subject/36156578/"
"腐花之雨 / 花腐し","3","2024/04/09","","2023/11/10","日本","https://movie.douban.com/subject/36363076/"
"绿色边境 / Zielona granica","3","2024/04/09","","2023/09/05","威尼斯电影节","https://movie.douban.com/subject/36217949/"
"功夫熊猫4 / Kung Fu Panda 4","2","2024/03/25","","2024/03/08","美国","https://movie.douban.com/subject/26715496/"
"沙丘2 / Dune: Part Two","3","2024/03/16","","2024/02/28","法国","https://movie.douban.com/subject/35575567/"
"蜘蛛夫人：超感觉醒 / Madame Web","1","2024/03/04","","2024/02/14","美国","https://movie.douban.com/subject/34846514/"
"正欲","2","2024/03/04","","2023/10/25","东京国际电影节","https://movie.douban.com/subject/36093500/"
"哥斯拉-1.0 / ゴジラ-1.0","2","2024/03/04","","2023/11/01","东京国际电影节","https://movie.douban.com/subject/35914398/"
"宇宙探索编辑部","3","2024/03/03","","2021/10/17","平遥国际影展","https://movie.douban.com/subject/34941536/"
"布莱泽奥特曼 大电影 大怪兽东京决战 / ウルトラマンブレーザー TH...","3","2024/02/29","注重真实与穿插的玩笑延续了TV的风格，最终仍然落回家庭更是我最喜欢的地方，喜欢靠妻与子的祈福来积蓄光线的能量。其他感觉不如TV平均水平吧(1 有用)","2024/02/23","日本","https://movie.douban.com/subject/36658859/"
"虫王战队超王者 / 王様戦隊キングオージャー","4","2024/02/28","不喜欢地方很多，不过喜欢的地方太喜欢了。最亮眼而感人的无疑是贯穿正传与外传对拉克勒斯的刻画，忍辱负重背上骂名又敢于坦荡认罪。双篇章构成下的伏笔回收与五人刻画也都相当出色(4 有用)","2023/03/05","日本","https://movie.douban.com/subject/36111239/"
"恶之地 / BAD LANDS バッド・ランズ","2","2024/02/26","","2023/09/29","日本","https://movie.douban.com/subject/35683968/"
"电锯惊魂10 / Saw X","2","2024/02/26","","2023/09/25","比利时","https://movie.douban.com/subject/36116844/"
"驱魔人：信徒 / The Exorcist: Believer","1","2024/02/26","","2023/10/04","印度尼西亚","https://movie.douban.com/subject/35211198/"
"枯草 / Kuru Otlar Üstüne","3","2024/02/26","","2023/05/19","戛纳电影节","https://movie.douban.com/subject/35211729/"
"良医 第六季 / The Good Doctor Season 6","3","2024/02/16","","2022/10/03","美国","https://movie.douban.com/subject/35840681/"
"假面骑士555 20th 天堂・重获 / 仮面ライダー555 20th パラダイ...","2","2024/02/02","","2024/02/02","日本","https://movie.douban.com/subject/36396308/"
"布莱泽奥特曼 / ウルトラマンブレーザー","4","2024/01/20","庸作偏上，正如大多数单元集也只有一般水准一般，然而如今的我确实有些喜欢。很多一反传统的地方并不是为反而能落于实处，单这一点对于如今的奥特曼可能就已足够。主线尽管难以免俗的以沟通解决沟通，但我还有些喜欢在现在的皮套里看到这种高高举起轻轻放下，布莱泽由开篇的野人形象渐至与人间体对话的战友尽管没有传统的唯心那般力量但也有独特的味道，而最后一击乃至于最后一幕落于团队更落于久伏的家庭线即使不如大家的力量那样动人但也有微小的不容忽视的力量存在。写实与精心的制作甚至于人间体的队长设置哪怕是为博观众一笑的一些细节都让本剧能温柔地向观众告别。现在再回看发现blazer的名字起的真是太好了(1 有用)","2023/07/08","日本","https://movie.douban.com/subject/36200411/"
"蓝莓之夜 / My Blueberry Nights","3","2024/01/16","","2007/05/16","戛纳电影节","https://movie.douban.com/subject/1499148/"
"怎么办家康 / どうする家康","2","2024/01/14","","2023/01/08","日本","https://movie.douban.com/subject/35332603/"
"月球叛军：火之女 / Rebel Moon: A Child of Fire","2","2024/01/14","","2023/12/15","美国点映","https://movie.douban.com/subject/35517441/"
"永远的三丁目的夕阳 / ALWAYS 三丁目の夕日","3","2024/01/14","","2005/11/05","日本","https://movie.douban.com/subject/1463224/"
"母亲 / 母べえ","3","2024/01/14","","2008/01/26","日本","https://movie.douban.com/subject/2000741/"
"疯狂的小镇","4","2024/01/14","","","","https://movie.douban.com/subject/1297795/"
"超市之女 / スーパーの女","4","2024/01/14","","1996/06/15","日本","https://movie.douban.com/subject/1468491/"
"如父如子 / そして父になる","4","2024/01/14","","2013/09/28","日本","https://movie.douban.com/subject/10571509/"
"T省的84·85年","4","2024/01/14","","","","https://movie.douban.com/subject/3369426/"
"布朗克斯的故事 / A Bronx Tale","4","2024/01/14","","1993/09/09","威尼斯电影节","https://movie.douban.com/subject/1295070/"
"丈夫、太太与情人 / Husbands and Wives","4","2024/01/14","","","","https://movie.douban.com/subject/1301616/"
"流星语 / 流星語","4","2024/01/14","","1999/10/14","中国香港","https://movie.douban.com/subject/1294038/"
"半边人 / 半邊人","4","2024/01/14","","","","https://movie.douban.com/subject/1299619/"
"邮差 / Il postino","4","2024/01/14","","1994/09/01","威尼斯电影节","https://movie.douban.com/subject/1298468/"
"控方证人 / Witness for the Prosecution","4","2024/01/14","","1982/12/04","美国","https://movie.douban.com/subject/5294851/"
"我这样过了一生 / 我這樣過了一生","4","2024/01/14","","1985/10/09","中国台湾","https://movie.douban.com/subject/1302637/"
"2046","4","2024/01/14","","2004/05/20","戛纳电影节","https://movie.douban.com/subject/1291555/"
"稻草人","4","2024/01/14","","1987/10/23","中国台湾","https://movie.douban.com/subject/1308607/"
"东方快车谋杀案 / Murder on the Orient Express","5","2024/01/14","","","","https://movie.douban.com/subject/1292699/"
"近松物语 / 近松物語","4","2024/01/14","","","","https://movie.douban.com/subject/1303600/"
"双峰：与火同行 / Twin Peaks: Fire Walk with Me","4","2024/01/14","","","","https://movie.douban.com/subject/1303472/"
"泰勒·斯威夫特：时代巡回演唱会 / Taylor Swift: The Eras Tour","2","2024/01/06","作为纪录片而言简直是失败的令人发指，而即使只看live本身也不过尔尔(2 有用)","2023/10/13","美国","https://movie.douban.com/subject/36538847/"
"冰血暴 第五季 / Fargo Season 5","3","2023/12/30","","2023/11/21","美国","https://movie.douban.com/subject/35774682/"
"为全人类 第四季 / For All Mankind Season 4","4","2023/12/30","","2023/11/10","美国","https://movie.douban.com/subject/36012300/"
"他人之颜 / 他人の顔","4","2023/12/30","","1966/07/16","日本","https://movie.douban.com/subject/1432779/"
"杀妻总动员 / Survive Style 5+","3","2023/12/30","","","","https://movie.douban.com/subject/1308841/"
"红 / Red","4","2023/12/30","","2020/02/21","日本","https://movie.douban.com/subject/30465916/"
"冰冷热带鱼 / 冷たい熱帯魚","4","2023/12/30","","2010/09/07","威尼斯电影节","https://movie.douban.com/subject/4830236/"
"笑之大学 / 笑の大学","4","2023/12/30","","2004/10/25","东京国际电影节","https://movie.douban.com/subject/1328665/"
"错位","4","2023/12/30","","","","https://movie.douban.com/subject/1299687/"
"埋伏","4","2023/12/30","","1997/01/14","中国大陆","https://movie.douban.com/subject/1300019/"
"笼民 / 籠民","4","2023/12/30","","","","https://movie.douban.com/subject/1306326/"
"海王2：失落的王国 / Aquaman and the Lost Kingdom","2","2023/12/24","","2023/12/20","中国大陆","https://movie.douban.com/subject/30444942/"
"最喜欢的花 / いちばんすきな花","3","2023/12/24","","2023/10/12","日本","https://movie.douban.com/subject/36529834/"
"万物生灵：2023圣诞特别集 / All Creatures Great and Small: On a...","3","2023/12/24","","2023/12/21","英国","https://movie.douban.com/subject/35729996/"
"瑞克和莫蒂 第七季 / Rick and Morty Season 7","3","2023/12/18","","2023/10/15","美国","https://movie.douban.com/subject/36025639/"
"神秘博士60周年特别篇 / Doctor Who 60th Anniversary Specials","4","2023/12/18","","2023/11/25","英国","https://movie.douban.com/subject/35901396/"
"铁道人：1984博帕尔事件 / The Railway Men","3","2023/12/18","","2023/11/18","印度","https://movie.douban.com/subject/36620859/"
"万亿美元 / Eine Billion Dollar","1","2023/12/18","","2023/11/23","德国","https://movie.douban.com/subject/36620034/"
"欧比旺 / Obi-Wan Kenobi","2","2023/12/18","","2022/05/27","美国","https://movie.douban.com/subject/27668664/"
"安多 第一季 / Andor Season 1","4","2023/12/18","","2022/09/21","美国","https://movie.douban.com/subject/30376895/"
"星球大战：异等小队 第一季 / Star Wars: The Bad Batch Season 1","3","2023/12/18","","2021/05/04","美国","https://movie.douban.com/subject/35141102/"
"星球大战：异等小队 第二季 / Star Wars: The Bad Batch Season 2","3","2023/12/18","","2023/01/04","美国","https://movie.douban.com/subject/35554506/"
"帝王计划：怪兽遗产 第一季 / Monarch: Legacy of Monsters Season 1","1","2023/12/18","","2023/11/17","美国","https://movie.douban.com/subject/35745750/"
"王冠 第六季 / The Crown Season 6","3","2023/12/17","","2023/11/16","英国","https://movie.douban.com/subject/35135995/"
"奥特赛文IF Story：55年前的未来 / ウルトラセブン IF Story 『55...","4","2023/12/12","","2023/11/25","日本","https://movie.douban.com/subject/36403156/"
"假面骑士极狐外传 万事屋！？阿道老板的一天 / 仮面ライダーギーツ...","4","2023/12/09","","2023/12/06","日本","https://movie.douban.com/subject/36529964/"
"旺卡 / Wonka","2","2023/12/09","","2023/12/06","中国台湾","https://movie.douban.com/subject/26897888/"
"拿破仑 / Napoleon","3","2023/12/04","","2023/11/22","美国","https://movie.douban.com/subject/35224919/"
"唐山大地震","3","2023/12/01","","2010/07/22","中国大陆","https://movie.douban.com/subject/3596502/"
"门徒 / 門徒","3","2023/12/01","","2007/02/13","中国大陆","https://movie.douban.com/subject/1890784/"
"窃听风云 / 竊聽風雲","3","2023/12/01","","2009/07/24","中国大陆","https://movie.douban.com/subject/3412882/"
"无双 / 無雙","3","2023/12/01","","2018/09/30","中国大陆","https://movie.douban.com/subject/26425063/"
"孔雀","3","2023/12/01","经典蜘蛛侠题材越看越没劲，电影本身想要在三段式结构内做出形散意不散的尝试也比较失败，可能也有审核方面修剪要求的原因吧。旁白实在太多了。可能只有最后不开屏的孔雀一幕还行吧。｜弟弟当小白脸才是成功中成功呀","2005/02/18","中国大陆","https://movie.douban.com/subject/1309004/"
"电影 假面骑士极狐：4位王者与黑狐 / 仮面ライダーギーツ 4人のエ...","3","2023/11/30","","2023/07/28","日本","https://movie.douban.com/subject/36372932/"
"电影 虫王战队超王者：冒险天堂 / 王様戦隊キングオージャー アド...","3","2023/11/30","","2023/07/28","日本","https://movie.douban.com/subject/36200902/"
"萨瓦流淌的方向","2","2023/11/30","","2021/10/26","东京国际电影节中国电影周","https://movie.douban.com/subject/35613856/"
